Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,365,MeadWestvaco,"6,890.00",90
2009,366,W.W. Grainger,"6,850.00",475.4
2009,367,Mohawk Industries,"6,826.30","-1,458.20"
2009,368,Celanese,"6,823.00",282
2009,369,CMS Energy,"6,821.00",300
2009,370,Emcor Group,"6,785.20",182.2
2009,371,Gannett,"6,767.70","-6,647.60"
2009,372,CC Media Holdings,"6,764.80","-4,005.50"
2009,373,Hormel Foods,"6,754.90",285.5
2009,374,Darden Restaurants,"6,747.20",377.2
2009,375,Stryker,"6,718.20","1,147.80"
2009,376,Avery Dennison,"6,710.40",266.1
2009,377,UGI,"6,648.20",215.5
2009,378,D.R. Horton,"6,646.10","-2,633.60"
2009,379,AbitibiBowater,"6,645.10","-1,050.90"
2009,380,AutoZone,"6,522.70",641.6
2009,381,WellCare Health Plans,"6,521.90",-36.8
2009,382,KeyCorp,"6,499.00","-1,468.00"
2009,383,Frontier Oil,"6,498.80",80.2
2009,384,Ross Stores,"6,486.10",305.4
2009,385,Charter Communications,"6,479.00","-2,451.00"
2009,386,Autoliv,"6,473.20",164.7
2009,387,Newell Rubbermaid,"6,470.60",-52.3
2009,388,American Family Insurance Group,"6,431.30",-297.9
2009,389,Henry Schein,"6,407.60",243.1
2009,390,Domtar,"6,394.00",-573
2009,391,McGraw-Hill,"6,355.10",799.5
2009,392,Omnicare,"6,310.60",156.1
2009,393,Pulte Homes,"6,289.50","-1,473.10"
2009,394,Visa,"6,263.00",804
2009,395,Pitney Bowes,"6,262.30",419.8
2009,396,General Cable,"6,230.10",217.2
2009,397,CIT Group,"6,228.90","-2,799.50"
2009,398,First American Corp.,"6,213.80",-26.3
2009,399,Ryder System,"6,203.70",199.9
2009,400,Newmont Mining,"6,199.00",853
2009,401,Affiliated Computer Services,"6,160.60",329
2009,402,SPX,"6,144.00",247.9
2009,403,Ecolab,"6,137.50",448.1
2009,404,Anixter International,"6,136.60",195.7
2009,405,Embarq,"6,124.00",769
2009,406,Wesco International,"6,110.80",212.7
2009,407,Hexion Specialty Chemicals,"6,093.00","-1,190.00"
2009,408,Black & Decker,"6,086.10",293.6
2009,409,Thrivent Financial for Lutherans,"6,060.60",-329.7
2009,410,Franklin Resources,"6,032.40","1,588.20"
2009,411,Avis Budget Group,"5,984.00","-1,124.00"
2009,412,Harley-Davidson,"5,971.30",654.7
2009,413,Aleris International,"5,968.20",-305.4
2009,414,Corning,"5,948.00","5,257.00"
2009,415,Mattel,"5,918.00",379.6
2009,416,Tenneco,"5,916.00",-415
2009,417,Starwood Hotels & Resorts,"5,907.00",329
2009,418,Advanced Micro Devices,"5,881.00","-3,098.00"
2009,419,Symantec,"5,874.40",463.9
2009,420,Holly,"5,867.70",120.6
2009,421,Cameron International,"5,848.90",593.7
2009,422,Owens Corning,"5,847.00",-839
2009,423,Micron Technology,"5,841.00","-1,619.00"
2009,424,Northeast Utilities,"5,800.10",260.8
2009,425,Agilent Technologies,"5,774.00",693
2009,426,ProLogis,"5,772.80",-406.8
2009,427,Dr Pepper Snapple Group,"5,710.00",-312
2009,428,Group 1 Automotive,"5,703.30",-31.5
2009,429,Rockwell Automation,"5,697.80",577.6
2009,430,Northern Trust Corp.,"5,677.90",794.8
2009,431,Timken,"5,663.70",267.7
